State No,County No,FOR,AGAINST,TOTAL CASTE,DEPENDENT VARIABLE,BALLOT TYPE,POPULATION,PCI,MEDIUM FAMILY INCOME,SIZE OF COUNTY,POPULATION DENSITY,PERCENT WHITE,PERCENT BLACK,PERCENT OTHER,PERCENT MALE,PERCENT FEMALE,NO OF CHURCHES,NO OF CHURCH MEMBERS,PERCENT CHURCH MEMBERS OF POPULATION,POVERTY LEVEL,UNEMPLOYMENT RATE,AGE LESS THAN 18,AGE24,AGE44,AGE64,AGE OLDER THAN 65,MSA,PERCENT MINORITY,NO OF OLDER,NO OF YOUNGER
5,1,890,1806,2696,0,1,15218,"$19,440 ","$31,243 ",1925.00,7.91,.60,.00,.40,.505,.495,31,3017,.22,17.60,11.30,5391,1166,4289,2935,1385,2,.40,4320,8578
5,2,1302,2447,3749,0,1,20697,"$18,971 ","$30,509 ",635.90,32.55,.96,.00,.04,.479,.521,21,2274,.13,15.40,4.40,5633,1401,5740,4281,3176,2,.04,7457,11480
5,3,6880,22122,29002,0,1,133995,"$22,354 ","$45,696 ",1703.10,78.68,.86,.01,.13,.496,.504,112,18293,.16,8.70,7.40,40261,10470,41984,27469,12972,1,.14,40441,83968
5,4,3651,10779,14430,0,1,58920,"$22,412 ","$31,757 ",2921.60,20.17,.86,.00,.13,.499,.501,72,11728,.22,14.20,9.80,16178,4507,17782,12121,7362,2,.14,19483,35564
5,5,3881,16791,20672,0,1,63176,"$20,934 ","$32,288 ",1745.20,36.20,.91,.01,.08,.500,.500,66,6988,.12,12.10,8.70,14794,3945,16957,13401,13189,2,.09,26590,33914
5,6,18175,43747,61922,0,1,305182,"$23,819 ","$42,862 ",627.90,486.04,.92,.01,.07,.495,.505,179,28366,.12,9.30,4.10,83430,23779,95587,60107,29739,1,.08,89846,191174
5,7,567,983,1550,0,1,4250,"$20,182 ","$29,918 ",868.80,4.89,.85,.00,.15,.498,.502,13,778,.19,15.40,13.30,1055,259,1145,979,772,2,.15,1751,2290
5,8,7834,17289,25123,0,1,89691,"$20,145 ","$35,723 ",1138.70,78.77,.94,.00,.06,.496,.504,79,14190,.17,12.60,7.50,24087,7070,26225,19122,12236,2,.06,31358,52450
5,9,2575,5983,8558,0,1,32270,"$18,405 ","$35,153 ",1820.60,17.72,.86,.00,.14,.504,.496,39,2936,.11,10.20,7.40,8866,2368,9270,6355,4969,2,.14,11324,18540
5,10,914,1415,2329,0,1,7181,"$14,173 ","$29,391 ",2204.00,3.26,.79,.00,.20,.523,.477,15,361,.06,18.10,13.30,2240,534,2137,1477,778,2,.21,2255,4274
5,11,1806,5484,7290,0,1,45003,"$17,443 ","$32,261 ",1242.20,36.23,.58,.04,.38,.516,.484,62,5977,.16,18.60,9.90,15918,4328,13361,7319,4178,1,.42,11497,26722
5,12,360,689,1049,0,1,2304,"$21,581 ","$32,354 ",710.50,3.24,.98,.00,.02,.490,.510,8,688,.31,9.90,4.50,592,74,585,531,508,2,.02,1039,1170
5,13,4233,9497,13730,0,1,67087,"$18,390 ","$31,162 ",2676.40,25.07,.76,.01,.23,.509,.491,111,7780,.14,15.80,9.80,20683,5267,18180,12777,8367,2,.24,21144,36360
5,14,6213,13253,19466,0,1,67776,"$18,576 ","$29,192 ",1917.30,35.35,.92,.00,.08,.500,.500,83,7301,.11,16.40,10.90,18113,4956,19103,14655,10457,2,.08,25112,38206
5,15,3819,13890,17709,0,1,68156,"$21,062 ","$37,305 ",208.60,326.73,.88,.02,.10,.512,.488,43,7776,.13,6.80,4.50,17945,5761,21048,12965,9467,1,.12,22432,42096
5,16,2512,7859,10371,0,1,25433,"$21,116 ","$33,526 ",1808.80,14.06,.93,.01,.06,.502,.498,22,2124,.11,11.40,7.30,5505,1250,7191,6002,5013,2,.07,11015,14382
5,17,13387,42435,55822,0,1,230897,"$20,597 ","$40,622 ",396.00,583.07,.87,.03,.11,.512,.488,130,20968,.11,8.80,6.60,62836,22652,73662,43134,23495,1,.13,66629,147324
5,18,1930,5209,7139,0,1,31069,"$18,608 ","$29,564 ",2296.70,13.53,.93,.01,.06,.498,.502,38,3053,.11,14.10,8.70,6724,5841,8218,5957,3736,2,.07,9693,16436
5,19,1053,2771,3824,0,1,18505,"$18,214 ","$31,004 ",1872.50,9.88,.89,.00,.11,.507,.493,42,2166,.13,16.00,11.60,5341,1207,5505,3805,2387,2,.11,6192,11010
5,20,5499,13266,18765,0,1,66751,"$18,617 ","$31,318 ",2407.80,27.72,.95,.00,.05,.494,.506,99,9977,.17,14.10,8.60,18745,4852,18210,14045,9978,2,.05,24023,36420
5,21,1414,2502,3916,0,1,9557,"$23,749 ","$33,770 ",2311.20,4.14,.97,.00,.03,.501,.499,33,3292,.37,10.80,6.40,2485,384,2443,2305,1838,2,.03,4143,4886
5,22,3747,9884,13631,0,1,48419,"$17,596 ","$34,387 ",961.10,50.38,.91,.01,.08,.518,.482,32,3434,.09,12.10,7.90,11837,3210,13584,10965,7670,2,.09,18635,27168
5,23,2663,5729,8392,0,1,37741,"$19,532 ","$26,074 ",5268.30,7.16,.79,.00,.21,.507,.493,72,4016,.12,19.70,10.50,10569,2484,10589,8261,4960,2,.21,13221,21178
5,24,1945,4309,6254,0,1,20919,"$17,960 ","$26,689 ",974.60,21.46,.91,.00,.08,.494,.506,39,2385,.13,15.50,10.10,4954,1187,5131,4973,4514,2,.09,9487,10262
5,25,1232,1873,3105,0,1,11092,"$15,636 ","$28,799 ",1400.50,7.92,.96,.00,.04,.497,.503,28,1476,.17,18.00,13.40,3147,549,2984,2570,1492,2,.04,4062,5968
5,26,32567,106323,138890,0,1,655640,"$21,551 ","$37,006 ",1675.50,391.31,.81,.08,.11,.498,.502,371,73153,.12,11.90,6.20,176475,67701,210711,124510,67890,1,.19,192400,421422
5,27,1115,4536,5651,0,1,11985,"$31,080 ","$38,297 ",174.90,68.52,.96,.00,.03,.497,.503,13,561,.06,8.00,6.50,2420,425,3528,3071,2417,2,.04,5488,7056
5,28,5544,23036,28580,0,1,95414,"$21,740 ","$36,809 ",1735.30,54.98,.89,.00,.10,.494,.506,97,14912,.19,11.00,9.00,24867,7065,27803,20010,14022,1,.11,34032,55606
5,29,871,1605,2476,0,1,9285,"$18,215 ","$35,444 ",1656.50,5.61,.94,.00,.06,.514,.486,12,433,.05,10.70,10.50,2655,584,2866,1979,985,2,.06,2964,5732
5,30,30673,101067,131740,0,1,544578,"$23,686 ","$45,651 ",2090.20,260.54,.90,.01,.08,.500,.500,296,45479,.10,7.80,5.80,146642,43745,187175,103527,51642,2,.10,155169,374350
5,31,35980,62363,98343,0,1,403939,"$21,300 ","$33,812 ",1763.80,229.02,.92,.02,.06,.488,.512,289,47389,.13,12.20,5.40,106917,38956,125433,79890,50183,1,.08,130073,250866
5,32,4059,6237,10296,0,1,38631,"$15,494 ","$31,314 ",2478.30,15.59,.91,.00,.08,.501,.499,48,2641,.09,15.40,9.40,11807,2097,11026,8266,4444,2,.09,12710,22052
5,33,18815,42660,61475,0,1,196468,"$22,665 ","$40,600 ",727.10,270.21,.88,.02,.10,.488,.512,118,17774,.11,9.40,6.20,51834,16282,62640,39657,21766,1,.12,61423,125280
5,34,517,1096,1613,0,1,3788,"$17,998 ","$33,349 ",264.30,14.33,.95,.00,.05,.496,.504,11,398,.12,9.00,6.50,915,211,961,886,712,2,.05,1598,1922
5,35,3156,8645,11801,0,1,53393,"$19,219 ","$32,200 ",1270.50,42.03,.84,.02,.14,.511,.489,51,10742,.22,14.70,6.10,13398,6232,15403,10222,7924,2,.16,18146,30806
5,36,9073,34678,43751,0,1,152282,"$20,694 ","$36,192 ",2120.10,71.83,.90,.01,.09,.494,.506,120,15728,.12,11.60,7.40,37876,17793,46848,28821,17729,1,.10,46550,93696
5,37,3539,5798,9337,0,1,39897,"$17,485 ","$31,126 ",2159.40,18.48,.89,.01,.09,.518,.482,66,5414,.14,14.60,2.10,7382,12622,10097,5980,3676,2,.11,9656,20194
5,38,10624,25451,36075,0,1,214115,"$19,154 ","$29,706 ",4296.10,49.84,.66,.02,.33,.499,.501,211,26467,.14,20.20,12.60,66666,19205,61208,39800,24992,1,.34,64792,122416
6,1,1802,2596,4398,0,1,15218,"$19,440 ","$31,243 ",1925.00,7.91,.58,.00,.41,.505,.495,31,3017,.22,17.60,12.20,5428,1198,4269,2976,1347,2,.42,4323,8538
7,1,2908,3867,6775,0,1,20697,"$18,971 ","$30,509 ",635.90,32.55,.95,.00,.04,.479,.521,21,2274,.13,15.40,4.60,5746,1434,5814,4493,3210,2,.05,7703,11628
7,2,19892,30790,50682,0,1,133995,"$22,354 ","$45,696 ",1703.10,78.68,.86,.01,.13,.497,.503,112,18293,.16,8.70,8.50,40258,10533,41599,28166,13439,1,.14,41605,83198
7,3,9740,13057,22797,0,1,58920,"$22,412 ","$31,757 ",2921.60,20.17,.86,.00,.14,.500,.500,72,11728,.22,14.20,10.70,16528,4658,17993,12652,7089,2,.14,19741,35986
7,4,10596,17700,28296,0,1,63176,"$20,934 ","$32,288 ",1745.20,36.20,.91,.01,.08,.500,.500,66,6988,.12,12.10,9.70,14962,3996,17008,13901,13309,2,.09,27210,34016
7,5,45720,60955,106675,0,1,305182,"$23,819 ","$42,862 ",627.90,486.04,.91,.01,.07,.496,.504,179,28366,.12,9.30,4.50,86737,24830,98746,64330,30539,1,.09,94869,197492
7,6,757,1127,1884,0,1,4250,"$20,182 ","$29,918 ",868.80,4.89,.84,.00,.16,.499,.501,13,778,.19,15.40,15.20,1065,264,1149,1009,763,2,.16,1772,2298
7,7,13249,18726,31975,0,1,89691,"$20,145 ","$35,723 ",1138.70,78.77,.94,.00,.06,.497,.503,79,14190,.17,12.60,8.70,24250,7156,26223,19801,12261,2,.06,32062,52446
7,8,4576,5930,10506,0,1,32270,"$18,405 ","$35,153 ",1820.60,17.72,.86,.00,.14,.505,.495,39,2936,.11,10.20,8.60,8858,2398,9170,6491,5353,2,.14,11844,18340
7,9,1212,1565,2777,0,1,7181,"$14,173 ","$29,391 ",2204.00,3.26,.79,.00,.21,.522,.478,15,361,.06,18.10,13.70,2228,531,2114,1509,799,2,.21,2308,4228
7,10,4559,7315,11874,0,1,45003,"$17,443 ","$32,261 ",1242.20,36.23,.57,.04,.39,.516,.484,62,5977,.16,18.60,12.40,15862,4390,13164,7354,4233,1,.43,11587,26328
7,11,484,741,1225,0,1,2304,"$21,581 ","$32,354 ",710.50,3.24,.98,.00,.02,.492,.508,8,688,.31,9.90,4.30,601,76,586,549,492,2,.02,1041,1172
7,12,8724,12300,21024,0,1,67087,"$18,390 ","$31,162 ",2676.40,25.07,.75,.01,.24,.509,.491,111,7780,.14,15.80,10.60,21213,5487,18476,13343,8568,2,.25,21911,36952
7,13,11454,14063,25517,0,1,67776,"$18,576 ","$29,192 ",1917.30,35.35,.92,.00,.08,.501,.499,83,7301,.11,16.40,11.50,18154,4991,19035,15142,10454,2,.08,25596,38070
7,14,10915,16245,27160,0,1,68156,"$21,062 ","$37,305 ",208.60,326.73,.88,.02,.10,.509,.491,43,7776,.13,6.80,4.80,18225,5667,21044,13494,9726,1,.12,23220,42088
7,15,5871,7809,13680,0,1,25433,"$21,116 ","$33,526 ",1808.80,14.06,.93,.01,.06,.502,.498,22,2124,.11,11.40,8.30,5547,1266,7218,6221,5181,2,.07,11402,14436
7,16,39434,50760,90194,0,1,230897,"$20,597 ","$40,622 ",396.00,583.07,.86,.03,.11,.509,.491,130,20968,.11,8.80,6.80,64540,22078,74717,45593,23969,1,.14,69562,149434
7,17,5346,6683,12029,0,1,31069,"$18,608 ","$29,564 ",2296.70,13.53,.93,.01,.06,.499,.501,38,3053,.11,14.10,8.70,6830,5908,8307,6232,3792,2,.07,10024,16614
7,18,2647,4174,6821,0,1,18505,"$18,214 ","$31,004 ",1872.50,9.88,.88,.00,.11,.508,.492,42,2166,.13,16.00,12.50,5408,1219,5532,3949,2397,2,.12,6346,11064
7,19,11651,15129,26780,0,1,66751,"$18,617 ","$31,318 ",2407.80,27.72,.95,.00,.05,.495,.505,99,9977,.17,14.10,10.00,18952,4932,18277,14597,9993,2,.05,24590,36554
7,20,1851,2846,4697,0,1,9557,"$23,749 ","$33,770 ",2311.20,4.14,.97,.00,.03,.501,.499,33,3292,.37,10.80,5.80,2498,387,2437,2370,1865,2,.03,4235,4874
7,21,8732,11233,19965,0,1,48419,"$17,596 ","$34,387 ",961.10,50.38,.91,.01,.08,.518,.482,32,3434,.09,12.10,8.40,12102,3262,13743,11462,7850,2,.09,19312,27486
7,22,4479,7704,12183,0,1,37741,"$19,532 ","$26,074 ",5268.30,7.16,.79,.00,.21,.508,.492,72,4016,.12,19.70,11.40,10755,2545,10719,8621,5101,2,.21,13722,21438
7,23,4002,4758,8760,0,1,20919,"$17,960 ","$26,689 ",974.60,21.46,.91,.00,.09,.496,.504,39,2385,.13,15.50,10.20,4955,1197,5110,5099,4558,2,.09,9657,10220
