State No,County No,FOR,AGAINST,TOTAL CASTE,DEPENDENT VARIABLE,BALLOT TYPE,POPULATION,PCI,MEDIUM FAMILY INCOME,SIZE OF COUNTY,POPULATION DENSITY,PERCENT WHITE,PERCENT BLACK,PERCENT OTHER,PERCENT MALE,PERCENT FEMALE,NO OF CHURCHES,NO OF CHURCH MEMBERS,PERCENT CHURCH MEMBERS OF POPULATION,POVERTY LEVEL,UNEMPLOYMENT RATE,AGE LESS THAN 18,AGE24,AGE44,AGE64,AGE OLDER THAN 65,MSA,PERCENT MINORITY,NO OF OLDER,NO OF YOUNGER
17,105,26514,21907,48421,1,2,185794,"$17,134 ","$26,749 ",216.30,858.96,.56,.39,.05,.484,.516,160,77390,.43,22.50,7.30,50623,21838,59559,33721,20053,1,.44,53774,119118
17,106,6293,6962,13255,0,2,44630,"$15,263 ","$31,167 ",276.40,161.47,.75,.23,.01,.479,.521,63,20122,.48,15.80,7.60,12502,4964,13778,8731,4655,1,.25,13386,27556
17,107,3372,4589,7961,0,2,18687,"$18,812 ","$40,667 ",185.80,100.58,.90,.08,.02,.488,.512,28,6036,.34,8.90,4.10,5333,1572,6548,3503,1731,1,.10,5234,13096
17,108,1455,2048,3503,0,2,10173,"$14,460 ","$27,396 ",441.10,23.06,.73,.26,.01,.483,.517,31,3595,.37,16.50,7.50,2671,945,3224,2149,1184,2,.27,3333,6448
17,109,7501,7389,14890,1,2,47243,"$14,200 ","$40,243 ",313.60,150.65,.95,.04,.01,.500,.500,53,11626,.28,9.00,6.30,13790,4816,17229,8094,3314,1,.05,11408,34458
17,110,3271,3010,6281,1,2,21919,"$16,358 ","$27,622 ",151.10,145.06,.49,.49,.02,.476,.524,21,6417,.30,24.50,8.80,5999,3155,6421,4147,2197,1,.51,6344,12842
17,111,2790,2619,5409,1,2,14983,"$17,102 ","$29,114 ",232.10,64.55,.97,.02,.01,.490,.510,39,7264,.50,13.90,7.80,3754,1430,4520,3290,1989,1,.03,5279,9040
17,112,1508,2650,4158,0,2,13610,"$14,434 ","$23,710 ",343.00,39.68,.87,.12,.01,.486,.514,36,6437,.48,21.10,7.80,3819,1223,4072,2881,1615,2,.13,4496,8144
17,113,1700,2086,3786,0,2,10504,"$15,369 ","$30,601 ",218.40,48.10,.78,.21,.01,.497,.503,31,5419,.53,13.40,6.10,2840,922,3188,2235,1319,2,.22,3554,6376
17,114,4351,5621,9972,0,2,34283,"$13,800 ","$24,889 ",311.20,110.16,.83,.15,.02,.481,.519,63,16986,.50,18.40,12.50,9061,3280,9896,7230,4816,2,.17,12046,19792
17,115,1476,1602,3078,0,2,8087,"$17,018 ","$24,926 ",247.40,32.69,.65,.34,.01,.466,.534,17,5532,.68,21.70,5.90,2180,669,2233,1736,1269,2,.35,3005,4466
17,116,2217,2015,4232,1,2,14924,"$15,485 ","$26,519 ",344.50,43.32,.64,.35,.01,.489,.511,22,4913,.35,17.00,5.10,3836,1360,4454,3381,1893,2,.36,5274,8908
17,117,458,218,676,1,2,2245,"$13,995 ","$17,501 ",151.60,14.81,.48,.51,.01,.461,.539,5,1142,.52,28.10,9.70,588,211,564,477,405,2,.52,882,1128
17,118,1749,2569,4318,0,2,11901,"$14,671 ","$23,958 ",371.10,32.07,.99,.00,.01,.485,.515,41,5183,.44,15.00,9.90,2582,924,3271,2886,2238,2,.01,5124,6542
17,119,1236,1303,2539,0,2,8083,"$12,866 ","$16,398 ",429.30,18.83,.40,.59,.01,.456,.544,26,5138,.64,33.90,9.30,2402,887,2057,1399,1338,2,.60,2737,4114
17,120,35600,20376,55976,1,2,201744,"$17,436 ","$27,300 ",324.10,622.47,.53,.43,.04,.496,.504,166,81082,.43,21.20,8.60,53378,28227,65889,34372,19878,1,.47,54250,131778
17,121,11669,11111,22780,1,2,58799,"$18,956 ","$42,869 ",130.70,449.88,.89,.09,.03,.494,.506,38,17431,.32,9.00,5.50,16622,5319,20218,11947,4693,1,.11,16640,40436
17,122,416,736,1152,0,2,3584,"$14,033 ","$24,256 ",167.60,21.38,.63,.35,.02,.481,.519,8,1738,.48,19.10,9.30,1030,395,972,717,470,2,.37,1187,1944
17,123,1407,2139,3546,0,2,13764,"$14,705 ","$22,867 ",648.50,21.22,.53,.46,.01,.472,.528,56,8758,.63,22.40,9.50,3999,1174,4013,2474,2104,2,.47,4578,8026
17,124,1176,1358,2534,0,2,9107,"$14,121 ","$21,013 ",238.10,38.25,.60,.34,.06,.246,.754,24,4252,.47,27.70,10.90,2434,914,2529,1885,1345,2,.40,3230,5058
17,125,6499,8189,14688,0,2,56088,"$15,349 ","$27,526 ",198.00,283.27,.69,.30,.01,.480,.520,79,25026,.46,18.60,7.10,15848,5377,17480,10884,6499,1,.31,17383,34960
17,126,2361,5409,7770,0,2,24045,"$15,426 ","$25,878 ",179.30,134.10,.86,.13,.01,.481,.519,47,12651,.54,16.50,7.40,5744,2634,6861,5015,3791,2,.14,8806,13722
17,127,966,631,1597,1,2,5536,"$12,379 ","$17,240 ",458.70,12.07,.35,.64,.01,.480,.520,17,3088,.55,29.80,9.40,1517,538,1478,1040,963,2,.65,2003,2956
17,128,3097,5118,8215,0,2,30814,"$14,861 ","$24,065 ",485.30,63.49,.51,.48,.01,.461,.539,49,14858,.49,25.50,9.90,9044,3681,8821,5258,4010,2,.49,9268,17642
17,129,1180,836,2016,1,2,6661,"$11,501 ","$21,503 ",393.20,16.94,.36,.63,.01,.475,.525,23,3349,.51,22.30,9.30,1801,576,2039,1332,913,2,.64,2245,4078
17,130,509,400,909,1,2,1813,"$13,839 ","$17,350 ",195.40,9.28,.38,.61,.01,.466,.534,14,1245,.65,27.60,8.70,494,139,446,363,371,2,.62,734,892
17,131,2125,3015,5140,0,2,18008,"$14,160 ","$22,424 ",483.70,37.23,.66,.30,.03,.536,.464,54,9719,.55,26.40,7.00,4403,1744,5967,3528,2366,2,.34,5894,11934
